NB,Kí_hiệu,Tide,pH,DO,TSS,NH4,PO4,As,Pb,Dau_mo,Coliform
NB6,T4/24,ĐT,8.01,7.02,17.6,0.053,0.024,,,0.48,450.0
NB6,T6/24,CT,7.51,6.27,26.1,0.095,0.043,,,0.46,600.0
NB6,T6/24,ĐT,7.6,6.3,17.2,0.055,0.035,,,0.4,360.0
NB6,T8/24,CT,7.81,6.28,28.4,0.094,0.051,,,0.47,630.0
NB6,T8/24,ĐT,7.79,6.25,19.2,0.057,0.045,,,0.43,410.0
NB6,T10/24,CT,7.83,6.37,27.4,0.19,0.058,,,0.46,790.0
NB6,T10/24,ĐT,7.91,6.41,17.6,0.099,0.053,,,0.42,460.0
NB6,T11/24,CT,7.92,7.0,28.1,0.11,0.049,,,0.42,780.0
NB6,T11/24,ĐT,7.95,7.03,19.3,0.043,0.044,,,0.4,330.0
NB15,T02/24,CT,8.02,6.68,16.4,0.069,0.03,,,0.42,600.0
NB15,T02/24,ĐT,8.05,7.91,12.3,0.046,0.026,,,0.41,240.0
NB15,T4/24,CT,8.14,7.05,15.8,0.1,0.07,,,0.37,480.0
NB15,T4/24,ĐT,7.65,7.16,11.2,0.067,0.045,,,0.52,230.0
NB15,T6/24,CT,7.51,6.3,17.9,0.074,0.042,,,0.43,680.0
NB15,T6/24,ĐT,7.47,6.08,13.5,0.043,0.03,,,0.4,250.0
NB15,T8/24,CT,7.93,6.11,19.1,0.076,0.053,,,0.44,700.0
NB15,T8/24,ĐT,7.97,6.31,14.9,0.048,0.049,,,0.42,330.0
NB15,T10/24,CT,8.21,6.47,18.5,0.074,0.073,,,0.46,630.0
NB15,T10/24,ĐT,8.2,6.5,12.7,0.059,0.071,,,0.43,230.0
NB15,T11/24,CT,8.05,7.27,20.1,0.062,0.062,,,0.49,430.0
NB15,T11/24,ĐT,8.05,7.29,17.6,0.049,0.057,,,0.44,170.0
NB16,T02/24,CT,7.64,6.89,20.7,0.091,0.04,,,0.35,680.0
NB16,T02/24,ĐT,7.85,7.22,15.6,0.06,0.024,,,0.33,250.0
NB16,T4/24,CT,7.93,7.4,19.1,0.088,0.039,,,0.52,810.0
NB16,T4/24,ĐT,8.05,6.69,13.4,0.055,0.028,,,0.5,400.0
NB16,T6/24,CT,7.5,6.38,22.3,0.084,0.043,,,0.37,700.0
NB16,T6/24,ĐT,7.48,5.78,16.4,0.054,0.027,,,0.36,260.0
NB16,T8/24,CT,7.8,6.12,24.0,0.086,0.06,,,0.38,630.0
NB16,T8/24,ĐT,7.83,6.17,18.3,0.057,0.05,,,0.36,200.0
NB16,T10/24,CT,8.15,6.19,23.3,0.08,0.074,,,0.41,680.0
NB16,T10/24,ĐT,8.25,6.29,16.7,0.061,0.072,,,0.39,230.0
NB16,T11/24,CT,8.05,7.02,22.4,0.097,0.053,,,0.43,580.0
NB16,T11/24,ĐT,8.09,7.03,15.3,0.078,0.048,,,0.36,210.0
NB17,T02/24,CT,7.39,6.78,18.4,0.16,0.039,,,0.59,1400.0
NB17,T02/24,ĐT,7.87,7.05,11.9,0.078,0.033,,,0.37,560.0
NB17,T4/24,CT,8.24,7.01,14.9,0.12,0.047,,,0.34,1800.0
NB17,T4/24,ĐT,7.88,7.2,10.6,0.08,0.038,,,0.51,820.0
