NB,Tide,Kí_hiệu,Amoni (NH4+),Asen (As),Coliform,DO,Dầu mỡ khoáng,Florua (F-),Photphat (PO43-),Tổng chất  rắn lơ lửng (TSS),pH,Đồng (Cu)
NB2,CT,T6/23,0.19,0.003,230,6.1,0.4,1.4,0.04,13.8,8.2,
NB2,CT,T8/23,0.18,0.003,940,6.2,0.44,1.1,0.04,19,8.2,
NB2,ĐT,T02/23,0.13,,350,6.3,0.4,0.70,0.04,14.2,7.8,
NB2,ĐT,T10/23,0.09,,180,6.0,0.33,1.19,0.02,9.7,8.1,0.01
NB2,ĐT,"T11,12/23",0.08,,200,6.1,0.4,0.6,0.05,9.4,8.2,
NB2,ĐT,T4/23,0.03,0.002,340,6.4,0.3,0.74,0.03,12.7,8.3,
NB2,ĐT,T6/23,0.14,0.004,70,7.0,0.4,0.8,0.04,9.3,8.4,
NB2,ĐT,T8/23,0.14,0.003,230,6.2,0.39,1.18,0.04,13.6,8.4,
NB3,CT,T02/23,0.12,,900,6.0,0.4,1.1,0.06,17,7.7,
NB3,CT,T10/23,0.12,,610,6.1,0.34,1.16,0.04,14.3,8.3,0.03
NB3,CT,"T11,12/23",0.11,,780,6.3,0.33,1.01,0.05,14.9,8.0,0.03
NB3,CT,T4/23,0.05,0.003,800,6.3,0.4,1.1,0.03,15.3,8.1,
NB3,CT,T6/23,0.13,0.003,600,6.2,0.4,1.4,0.03,14.1,8.3,
NB3,CT,T8/23,0.13,0.002,200,6.4,0.38,1.24,0.04,14.2,8.3,
NB3,ĐT,T02/23,0.08,,79,6.1,0.4,0.8,0.03,13.1,7.7,
NB3,ĐT,T10/23,0.10,,20,6.2,0.32,1,0.02,9.9,8.1,0.03
NB3,ĐT,"T11,12/23",0.09,,450,6.2,0.32,0.56,0.04,9.6,8.0,
NB3,ĐT,T4/23,0.00,0.003,90,6.4,0.4,0.7,0.02,12,8.2,
NB3,ĐT,T6/23,0.10,0.003,200,5.9,0.4,1,0.03,10.7,8.4,
